month,stage,protein,product,price_per_unit,uom,normalised_price,normalised_uom
2019-10,retail,beef,"Beef top sirloin cuts, per kilogram",15.68,Dollars,15.68,Dollars
2019-10,retail,beef,"Beef rib cuts, per kilogram",14.76,Dollars,14.76,Dollars
2019-10,retail,beef,"Ground beef, per kilogram",9.66,Dollars,9.66,Dollars
2019-10,retail,pork,"Pork loin cuts, per kilogram",8.78,Dollars,8.78,Dollars
2019-10,retail,pork,"Pork rib cuts, per kilogram",7.99,Dollars,7.99,Dollars
2019-10,retail,pork,"Pork shoulder cuts, per kilogram",5.76,Dollars,5.76,Dollars
2019-10,retail,chicken,"Whole chicken, per kilogram",5.95,Dollars,5.95,Dollars
2019-10,retail,chicken,"Chicken breasts, per kilogram",10.85,Dollars,10.85,Dollars
2019-10,retail,chicken,"Chicken thigh, per kilogram",7.73,Dollars,7.73,Dollars
2019-10,retail,chicken,"Chicken drumsticks, per kilogram",5.08,Dollars,5.08,Dollars
2019-10,retail,pork,"Bacon, 500 grams",4.98,Dollars,9.96,Dollars per kg
2019-10,retail,milk,"Milk, 1 litre",3.07,Dollars,3.07,Dollars per litre
2019-10,retail,milk,"Milk, 2 litres",4.51,Dollars,2.25,Dollars per litre
2019-10,retail,milk,"Milk, 4 litres",4.85,Dollars,1.21,Dollars per litre
2019-10,retail,egg,"Eggs, 1 dozen",3.23,Dollars,3.23,Dollars
2019-11,farm,beef,Steers for slaughter [111111113],127.78,Dollars per hundredweight,2.82,Dollars per kg
2019-11,farm,beef,Heifers for slaughter [111111114],122.68,Dollars per hundredweight,2.7,Dollars per kg
2019-11,farm,pork,Hogs [111121],84.18,Dollars per hundredweight,1.86,Dollars per kg
2019-11,farm,chicken,Chickens for meat [11113131],2.13,Dollars per kilogram,2.13,Dollars per kilogram
2019-11,farm,milk,Unprocessed milk from bovine [11612111],782.57,Dollars per kilolitre,0.78,Dollars per litre
2019-11,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-11,retail,beef,"Beef stewing cuts, per kilogram",14.47,Dollars,14.47,Dollars
2019-11,retail,beef,"Beef striploin cuts, per kilogram",15.49,Dollars,15.49,Dollars
2019-11,retail,beef,"Beef top sirloin cuts, per kilogram",14.31,Dollars,14.31,Dollars
2019-11,retail,beef,"Beef rib cuts, per kilogram",21.71,Dollars,21.71,Dollars
2019-11,retail,beef,"Ground beef, per kilogram",10.56,Dollars,10.56,Dollars
2019-11,retail,pork,"Pork loin cuts, per kilogram",7.85,Dollars,7.85,Dollars
2019-11,retail,pork,"Pork rib cuts, per kilogram",8.98,Dollars,8.98,Dollars
2019-11,retail,pork,"Pork shoulder cuts, per kilogram",7.7,Dollars,7.7,Dollars
2019-11,retail,chicken,"Whole chicken, per kilogram",5.3,Dollars,5.3,Dollars
2019-11,retail,chicken,"Chicken breasts, per kilogram",11.75,Dollars,11.75,Dollars
2019-11,retail,chicken,"Chicken thigh, per kilogram",10.06,Dollars,10.06,Dollars
2019-11,retail,chicken,"Chicken drumsticks, per kilogram",6.45,Dollars,6.45,Dollars
2019-11,retail,pork,"Bacon, 500 grams",5.78,Dollars,11.56,Dollars per kg
2019-11,retail,milk,"Milk, 1 litre",3.07,Dollars,3.07,Dollars per litre
2019-11,retail,milk,"Milk, 2 litres",4.6,Dollars,2.3,Dollars per litre
2019-11,retail,milk,"Milk, 4 litres",4.84,Dollars,1.21,Dollars per litre
2019-11,retail,egg,"Eggs, 1 dozen",3.23,Dollars,3.23,Dollars
2019-12,farm,beef,Steers for slaughter [111111113],131.64,Dollars per hundredweight,2.9,Dollars per kg
2019-12,farm,beef,Heifers for slaughter [111111114],129.49,Dollars per hundredweight,2.85,Dollars per kg
2019-12,farm,pork,Hogs [111121],83.93,Dollars per hundredweight,1.85,Dollars per kg
2019-12,farm,chicken,Chickens for meat [11113131],2.15,Dollars per kilogram,2.15,Dollars per kilogram
2019-12,farm,milk,Unprocessed milk from bovine [11612111],772.27,Dollars per kilolitre,0.77,Dollars per litre
2019-12,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2019-12,retail,beef,"Beef stewing cuts, per kilogram",15.51,Dollars,15.51,Dollars
2019-12,retail,beef,"Beef striploin cuts, per kilogram",17.67,Dollars,17.67,Dollars
2019-12,retail,beef,"Beef top sirloin cuts, per kilogram",10.96,Dollars,10.96,Dollars
2019-12,retail,beef,"Beef rib cuts, per kilogram",13.9,Dollars,13.9,Dollars
2019-12,retail,beef,"Ground beef, per kilogram",9.55,Dollars,9.55,Dollars
2019-12,retail,pork,"Pork loin cuts, per kilogram",8.29,Dollars,8.29,Dollars
2019-12,retail,pork,"Pork rib cuts, per kilogram",8.66,Dollars,8.66,Dollars
2019-12,retail,pork,"Pork shoulder cuts, per kilogram",7.78,Dollars,7.78,Dollars
2019-12,retail,chicken,"Whole chicken, per kilogram",6.01,Dollars,6.01,Dollars
2019-12,retail,chicken,"Chicken breasts, per kilogram",12.21,Dollars,12.21,Dollars
2019-12,retail,chicken,"Chicken thigh, per kilogram",7.39,Dollars,7.39,Dollars
2019-12,retail,chicken,"Chicken drumsticks, per kilogram",5.0,Dollars,5.0,Dollars
2019-12,retail,pork,"Bacon, 500 grams",5.84,Dollars,11.68,Dollars per kg
2019-12,retail,milk,"Milk, 1 litre",3.07,Dollars,3.07,Dollars per litre
2019-12,retail,milk,"Milk, 2 litres",4.6,Dollars,2.3,Dollars per litre
2019-12,retail,milk,"Milk, 4 litres",4.86,Dollars,1.22,Dollars per litre
2019-12,retail,egg,"Eggs, 1 dozen",3.44,Dollars,3.44,Dollars
2020-01,farm,beef,Steers for slaughter [111111113],147.99,Dollars per hundredweight,3.26,Dollars per kg
2020-01,farm,beef,Heifers for slaughter [111111114],146.2,Dollars per hundredweight,3.22,Dollars per kg
2020-01,farm,pork,Hogs [111121],82.93,Dollars per hundredweight,1.83,Dollars per kg
2020-01,farm,chicken,Chickens for meat [11113131],2.1,Dollars per kilogram,2.1,Dollars per kilogram
2020-01,farm,milk,Unprocessed milk from bovine [11612111],749.3,Dollars per kilolitre,0.75,Dollars per litre
2020-01,farm,egg,Eggs in shell [116111],1.52,Dollars per dozen,1.52,Dollars per dozen
2020-01,retail,beef,"Beef stewing cuts, per kilogram",13.85,Dollars,13.85,Dollars
2020-01,retail,beef,"Beef striploin cuts, per kilogram",18.74,Dollars,18.74,Dollars
2020-01,retail,beef,"Beef top sirloin cuts, per kilogram",13.68,Dollars,13.68,Dollars
2020-01,retail,beef,"Beef rib cuts, per kilogram",22.49,Dollars,22.49,Dollars
2020-01,retail,beef,"Ground beef, per kilogram",9.48,Dollars,9.48,Dollars
2020-01,retail,pork,"Pork loin cuts, per kilogram",7.64,Dollars,7.64,Dollars
2020-01,retail,pork,"Pork rib cuts, per kilogram",9.01,Dollars,9.01,Dollars
2020-01,retail,pork,"Pork shoulder cuts, per kilogram",4.03,Dollars,4.03,Dollars
2020-01,retail,chicken,"Whole chicken, per kilogram",5.34,Dollars,5.34,Dollars
2020-01,retail,chicken,"Chicken breasts, per kilogram",10.91,Dollars,10.91,Dollars
2020-01,retail,chicken,"Chicken thigh, per kilogram",10.82,Dollars,10.82,Dollars
2020-01,retail,chicken,"Chicken drumsticks, per kilogram",6.93,Dollars,6.93,Dollars
2020-01,retail,pork,"Bacon, 500 grams",5.88,Dollars,11.76,Dollars per kg
2020-01,retail,milk,"Milk, 1 litre",3.08,Dollars,3.08,Dollars per litre
2020-01,retail,milk,"Milk, 2 litres",4.58,Dollars,2.29,Dollars per litre
2020-01,retail,milk,"Milk, 4 litres",4.87,Dollars,1.22,Dollars per litre
2020-01,retail,egg,"Eggs, 1 dozen",3.34,Dollars,3.34,Dollars
